instruction,input,output
Determine the correct oral dosage of Amoxicillin for a child weighing 10 kg with tonsillitis.,"Amoxicillin, child weight 10 kg, diagnosis tonsillitis.","The usual dosage for tonsillitis is 25 mg/kg 2 times daily. For a child weighing 10 kg, the dose is 250 mg twice daily. This can be administered as 10 ml of a 125 mg/5 ml suspension twice daily or one 250 mg tablet twice daily[cite: 55, 56]."
What is the first-line treatment for an adult with convulsive status epilepticus using injectable Midazolam?,"Midazolam injection, adult, status epilepticus.","For seizures, the buccal or intranasal route is preferred. For an adult, the dose is 10 mg. If seizures do not stop 5 minutes after the first dose, re-administer the same dose once; do not exceed 2 doses total[cite: 695, 699]."
Identify the contraindications for the use of Aspirin in pain management.,Aspirin (acetylsalicylic acid) for pain/fever.,"Aspirin should not be administered to patients with an allergy to NSAIDs, gastroduodenal ulcers, coagulation disorders, hemorrhage, or severe renal, hepatic, or cardiac impairment. It is specifically contra-indicated for pain and fever in children due to the risk of Reye's syndrome[cite: 1213, 1214, 1223]."
Provide administration instructions for a beclometasone metered dose inhaler.,Beclometasone metered dose inhaler technique.,"1. Shake the inhaler and remove the mouthpiece cover. 2. Breathe out completely, then place lips tightly around the mouthpiece. 3. Activate the inhaler while inhaling deeply. 4. Hold breath for 10 seconds before exhaling. If the patient has difficulty with coordination, use a spacer[cite: 1772, 1773, 1774, 1775]."
Specify the storage requirements for Beclometasone/formoterol inhalers.,Beclometasone/formoterol metered dose inhaler storage.,"Before use, store between 2°C and 8°C; do not freeze. After the first use, store below 25°C for a maximum of 3 months[cite: 1832, 1833]."
What is the oral dosage for Albendazole in a child weighing 8 kg for ascariasis?,"Albendazole, child 8 kg, ascariasis.","For a child weighing less than 10 kg, the single oral dose of Albendazole for ascariasis is 200 mg[cite: 1293]."
Identify the therapeutic action and main adverse effects of Chlorpromazine.,Chlorpromazine therapeutic action and side effects.,"Chlorpromazine is a sedative antipsychotic. Common adverse effects include drowsiness, extrapyramidal symptoms, orthostatic hypotension, and anticholinergic effects like dry mouth and blurred vision. Rare but severe effects include agranulocytosis and neuroleptic malignant syndrome[cite: 2258, 2281, 2282]."
State the precautions when administering injectable Gentamicin.,Gentamicin injectable precautions.,"Due to risks of renal and auditory toxicity, do not prolong treatment unnecessarily. Administer with caution to patients with history of renal or vestibular problems. Stop treatment immediately if the patient experiences dizziness, tinnitus, or hearing loss[cite: 640, 749, 751]."
List the indications for the use of oral Azithromycin.,Azithromycin oral indications.,"Azithromycin is indicated for trachoma, Chlamydia trachomatis infections, chancroid, early syphilis, cholera, typhoid fever, yaws, pertussis, diphtheria, and atypical pneumonia[cite: 1686, 1687, 1688, 1689, 1690]."
Determine the treatment duration for an adult with paucibacillary leprosy using Rifampicin.,"Rifampicin, adult, paucibacillary leprosy.","For paucibacillary leprosy, the treatment duration with Rifampicin (in combination with dapsone and clofazimine) is 6 months[cite: 420]."
